Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
5d79b747-bc67-3135-9308-a5e128cffd3d,74ab949d-17ac-3309-83a0-13b4405c66aa,Gabriel934 Reilly981,F,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,14,0
60c85328-9e20-3c38-94c4-009b597977fb,e76b5eb0-0c9d-3593-b5da-3c0e9a97bb96,Sal878 Lehner980,M,GENERAL PRACTICE,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,106,0
98698311-244a-337c-bffd-aa5a85f77c77,11ba6a26-59b4-3728-a268-6dc9929962b4,Angelic427 McCullough561,F,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,5,0
46322173-c180-3dbe-90e0-9c6928422ac0,0ddb0329-b59d-3187-874c-602c649249c8,Eldon28 Cassin499,M,GENERAL PRACTICE,115 W SILVER ST,WESTFIELD,MA,010853678,42.1178811,-72.75935246865802,272,0
33422c47-ec04-3239-9280-1febc0e3aff3,a14e698d-a9ba-3eae-9c8b-682ec726433d,Leticia253 Dueñas839,F,GENERAL PRACTICE,776 WESTERN AVE,LYNN,MA,019052408,42.466763,-70.9494939,9,0
20725bb4-8285-3744-91b6-6624e391b017,b6eeaaf7-1683-3bcb-b6ee-81ce304636ef,Ariane992 Pagac496,F,GENERAL PRACTICE,170 GOVERNORS AVE,MELROSE,MA,021763225,42.4564323,-71.064182,181,0
5c0c06fe-5acf-3845-b361-d21a9c7e9531,1c42af32-f17e-32ec-b007-4ff8e2de493e,Sherman440 Wunsch504,M,GENERAL PRACTICE,235 NORTH PEARL STREET,STOUGHTON,MA,020723396,42.1004556,-71.0668392,1,0
22ea50a8-fc33-3fce-806e-10fe72587e71,aade280a-3b90-3e48-9648-91109a964a63,Josef103 Klein929,M,GENERAL PRACTICE,909 SUMNER ST,DARTMOUTH,MA,027473826,41.6332267,-70.9879928,98,0
9ebb8831-ce20-3551-a04d-14df56c3ba5a,ce53c877-0290-390a-b4b4-2462001a1713,Greg949 Hilll811,M,GENERAL PRACTICE,847 ROGERS STREET  SUITE 201,LOWELL,MA,018524345,42.6275246,-71.27673639687623,11,0
f2c0bf29-7a86-350e-b409-e0f0dda6b61e,ad82d624-72eb-3c7d-a76d-79f2668d1390,Georgianne697 Howe413,F,GENERAL PRACTICE,3 WOODLAND RD,STONEHAM,MA,021801711,42.452443099999996,-71.08939988105112,43,0
bddc88df-5c4e-3edf-9869-c94fc9451ce0,6170552c-4d27-3e64-8068-64a380f1837d,Leo278 Pacocha935,M,GENERAL PRACTICE,76 SUMMER ST,HAVERHILL,MA,018305814,42.7786873,-71.07306505177553,170,0
c545ce35-ae65-3a73-a9ac-c48fec82effa,22249c0a-8ce9-3726-a3bb-b037c773ce5c,Thaddeus38 Sauer652,M,GENERAL PRACTICE,337 NEPONSET AVENUE,DORCHESTER,MA,021223103,42.2875144,-71.0470691675753,28,0
602b37e3-65a4-3a97-91d1-2741b72ed3c3,f3238779-4ca7-309e-ba0b-c6cce084ccaf,Carmen818 Tejeda887,F,GENERAL PRACTICE,356 MAIN ST,HAVERHILL,MA,018304008,42.7828744,-71.07777605304592,3,0
3c91b05b-03c5-34de-87c4-1affdb0148c3,2e8b42f8-4300-30a9-a576-d513d1021a0a,Chris95 Haag279,M,GENERAL PRACTICE,600 CLARK RD,TEWKSBURY,MA,018761699,42.63120935,-71.27023603178071,60,0
9857b734-fba6-3135-976e-1c7811e379db,847ba43f-362d-3325-a095-93eb95d9dd90,Lawanda300 Bayer639,F,GENERAL PRACTICE,60 E SILVER ST,WESTFIELD,MA,010854434,42.1147598,-72.73956114707532,1,0
f4fc03f7-0604-30cd-817d-9623656a0948,d140ed3f-2696-3e78-bd77-1c959ec4fc4d,Orpha286 Marks830,F,GENERAL PRACTICE,863 HATHAWAY ROAD,NEW BEDFORD,MA,027401916,41.6512968,-70.9669902070805,10,0
2d6aa9e0-8aea-3d5e-a4fe-22bb92bde2ef,39c15c0f-5c49-311e-99d2-1fb99d80e06e,Salvador46 Homenick806,M,GENERAL PRACTICE,398 NEPONSET AVE,DORCHESTER,MA,021223134,42.286764399999996,-71.04402811508834,110,0
71bfb8c6-bb65-39af-a0ac-60124a7b2df4,bccd7d67-203c-3d93-b6b0-bff5a146cd1d,Paulene52 Kihn564,F,GENERAL PRACTICE,286 WASHINGTON ST,STOUGHTON,MA,020721763,42.1384306,-71.1022598,66,0
1412167b-39f4-38f3-85c7-3c54202a849b,f8918a95-31e8-3ac4-8d12-29ca6080ebda,Rudolf736 Vandervort697,M,GENERAL PRACTICE,199 REEDSDALE RD,MILTON,MA,021863926,42.251368299999996,-71.0768393856917,910,0
d72cb0cc-d7db-3951-ab60-e20e445d49bc,8d5880eb-1dd8-31ea-b7c5-21709f3bb341,Jared66 Satterfield305,M,GENERAL PRACTICE,50 ROWE ST,MELROSE,MA,021763201,42.4592093,-71.06078096379728,32,0
a7060301-62b6-3910-9873-5905cef1ae8c,70e3ad4f-b9ff-3f3e-9990-2cd7e23a9d1c,Zane918 Bosco882,M,GENERAL PRACTICE,1238 RIVERDALE ST,WEST SPRINGFIELD,MA,010894675,42.1373438,-72.62624707492338,9,0
1d6f0cc6-2d24-348a-9827-ff8e8a9ff340,88975fd9-b47e-3af6-af78-c58e1ecf0d5e,Azzie965 Feil794,F,GENERAL PRACTICE,115 W SILVER ST,WESTFIELD,MA,010853628,42.1178811,-72.75935246865802,53,0
2632e3ae-a9f9-34c4-b0b1-f07679208785,069b90f9-309b-35e4-b990-d1dbacb962cc,Leo278 Strosin214,F,GENERAL PRACTICE,36 LOWER WESTFIELD ROAD,HOLYOKE,MA,010402749,42.16975305,-72.63488031242107,19,0
